feature,score
L0_S9_F175,4
L0_S10_F239,4
S48_num_mean,4
L1_S24_F1609_leak2,4
S41_num_max,4
L1_S24_F1161_leak1,3
L1_S24_F1512,3
L3_S41_F4004,3
S08_num_interval,3
L1_S24_F0751_leak1,3
L1_S24_F1478,3
L1_S25_F2081,3
L1_S24_F1647,3
L0_S12_F332,3
S09_min,3
S03_min,3
L1_S24_F1836,3
L0_S0_F10,3
L0_S8_F144,3
L0_S02_F0040,3
L3_S43_F4080,3
L1_S24_F0948,3
L1_S24_F1632_leak1,2
sameL1,2
L1_S24_F1516_leak2,2
L1_S24_F1812_leak1,2
L1_S24_F1622,2
L0_S12_F330,2
S44_num_min,2
L0_S16_F421,2
s323334_12,2
L1_S24_F1609_leak1,2
S50_min,2
S25_time_interval,2
S48_num_interval,2
S36_max,2
L3_S36_F3922,2
L1_S24_F0700,2
L1_S24_F1068,2
S16_min,2
L1_S25_F2041,2
L1_S24_F1753_leak1,2
DATE_S30max,2
L1_S25_F2096,2
S01_min,2
L2_S28_F3259,2
L0_S19_D0454,2
L1_S24_F1235,2
L1_S24_F1230_leak1,2
L1_S25_F1896,2
L1_S24_F1008,2
L3_S41_F4016,2
L0_S00_D0001,1
L1_S24_F1512_leak2,1
L1_S24_F0691,1
L1_S24_F0930_leak1,1
L1_S24_F0814_leak1,1
S50_num_max,1
L1_S25_D1980,1
L0_S02_F0032,1
L0_S03_F0076,1
L0_S17_D0432,1
L2_S28_F3292,1
BAC100_LAG2_Sum_ResponseMinus1,1
L0_S22_F606,1
L1_S24_F1594_leak1,1
L1_S24_F0963,1
L0_S12_F344,1
L1_S24_F1793,1
L3_S41_F4023,1
DATE_S0_min,1
DATE_S10max,1
L1_S24_F1814_leak1,1
L1_S24_F1820_leak2,1
DATE_S5_max,1
L1_S24_F1356,1
L1_S24_F1351,1
L1_S24_F1336,1
L1_S24_F1184,1
S36_min,1
S37_min,1
S38_max,1
L1_S24_F1174_leak1,1
L0_S21_F0487,1
L1_S24_F1632_leak2,1
FOR165_LAG0_Sum_ResponseMinus1,1
L1_S24_F1079_leak1,1
S04_min,1
S00_min,1
L1_S24_F1094_leak1,1
