Feature,Gain,Cover,Frequency,Fold,FeatureLine,FeatureStation,FeatureNumber,Type,Categorical,Category
L3_S35_F3889,0.005166896,9.33733E-05,0.008565346,2,3,35,3889,F,,Category 6
L3_S29_F3473,0.005160809,0.000149795,0.00781106,2,3,29,3473,F,,Category 6
L3_S29_F3376,0.005144403,0.00020011,0.007392011,2,3,29,3376,F,,Category 6
L3_S32_F3854:T16,0.005130435,0.081273001,0.001776765,2,3,32,3854,F,T16,Category 7
L3_S35_F3896,0.005129806,0.002569086,0.007023249,2,3,35,3896,F,,Category 3
L0_S4_F109,0.005021891,0.001027311,0.00633601,2,0,4,109,F,,Category 3
L3_S29_F3379,0.004982129,0.000182441,0.006939439,2,3,29,3379,F,,Category 6
L2_S26_F3117,0.004826005,0.000359775,0.005849914,2,2,26,3117,F,,Category 5
L0_S7_D137,0.004805994,0.000535118,0.005078865,2,0,7,137,D,,Category 3
L0_S4_D106,0.004712181,0.000626226,0.005347056,2,0,4,106,D,,Category 3
L3_S29_F3324,0.004694662,0.001096278,0.007375249,2,3,29,3324,F,,Category 3
L3_S30_F3514,0.004563398,8.88178E-05,0.006051057,2,3,30,3514,F,,Category 5
L0_S2_F44,0.004499363,0.000723295,0.005179436,2,0,2,44,F,,Category 3
L3_S29_F3330,0.004418061,0.000155843,0.006972963,2,3,29,3330,F,,Category 6
L3_S29_F3382,0.004381573,0.000390883,0.005699056,2,3,29,3382,F,,Category 5
L3_S30_D3506,0.004262546,0.00061204,0.00373791,2,3,30,3506,D,,Category 3
L3_S29_F3342,0.004201196,0.000300571,0.006268962,2,3,29,3342,F,,Category 6
L3_S30_F3799,0.004164061,0.000373815,0.004710102,2,3,30,3799,F,,Category 5
L3_S30_F3629,0.00415159,0.000583152,0.005497913,2,3,30,3629,F,,Category 3
L2_S26_F3040,0.003962139,0.001351124,0.004559245,2,2,26,3040,F,,Category 3
L3_S29_F3427,0.003903725,0.000321157,0.006151628,2,3,29,3427,F,,Category 6
L3_S29_F3315,0.003890831,0.000139489,0.005699056,2,3,29,3315,F,,Category 5
L3_S30_F3519,0.003855252,7.15967E-05,0.005313532,2,3,30,3519,F,,Category 5
L0_S13_F356,0.003773029,0.002763694,0.003872006,2,0,13,356,F,,Category 3
L0_S12_D331,0.003728592,0.001120233,0.002447242,2,0,12,331,D,,Category 3
