[1]	train-auc:0.508578	test-auc:0.509391 
Multiple eval metrics are present. Will use test_auc for early stopping.
Will train until test_auc hasn't improved in 100 rounds.

[54]	train-auc:0.509869	test-auc:0.506685 
[55]	train-auc:0.509869	test-auc:0.506685 
[56]	train-auc:0.510020	test-auc:0.506639 
[57]	train-auc:0.510020	test-auc:0.506639 
[58]	train-auc:0.510020	test-auc:0.506639 
[59]	train-auc:0.510020	test-auc:0.506639 
[60]	train-auc:0.510020	test-auc:0.506636 
[61]	train-auc:0.510009	test-auc:0.506632 
[62]	train-auc:0.510009	test-auc:0.506632 
[63]	train-auc:0.510009	test-auc:0.506632 
[64]	train-auc:0.510009	test-auc:0.506632 
[65]	train-auc:0.510009	test-auc:0.506632 
[66]	train-auc:0.510009	test-auc:0.506632 
[67]	train-auc:0.510009	test-auc:0.506632 
[68]	train-auc:0.510009	test-auc:0.506632 
[69]	train-auc:0.510009	test-auc:0.506632 
[70]	train-auc:0.510009	test-auc:0.506632 
[71]	train-auc:0.510009	test-auc:0.506632 
[72]	train-auc:0.510009	test-auc:0.506632 
[73]	train-auc:0.510009	test-auc:0.506632 
[74]	train-auc:0.510009	test-auc:0.506632 
[75]	train-auc:0.510009	test-auc:0.506632 
[76]	train-auc:0.510009	test-auc:0.506632 
[77]	train-auc:0.510009	test-auc:0.506633 
[78]	train-auc:0.510009	test-auc:0.506633 
[79]	train-auc:0.510009	test-auc:0.506632 
[80]	train-auc:0.510010	test-auc:0.506633 
[81]	train-auc:0.510009	test-auc:0.506633 
[82]	train-auc:0.510009	test-auc:0.506633 
[83]	train-auc:0.510009	test-auc:0.506633 
[84]	train-auc:0.510009	test-auc:0.506633 
[85]	train-auc:0.510010	test-auc:0.506633 
[86]	train-auc:0.510010	test-auc:0.506633 
[87]	train-auc:0.510010	test-auc:0.506633 
[88]	train-auc:0.509965	test-auc:0.506566 
[89]	train-auc:0.509965	test-auc:0.506566 
[90]	train-auc:0.509965	test-auc:0.506566 
[91]	train-auc:0.509965	test-auc:0.506566 
[92]	train-auc:0.509965	test-auc:0.506566 
[93]	train-auc:0.509965	test-auc:0.506567 
[94]	train-auc:0.509960	test-auc:0.506567 
[95]	train-auc:0.509965	test-auc:0.506566 
[96]	train-auc:0.509960	test-auc:0.506567 
[97]	train-auc:0.509965	test-auc:0.506567 
[98]	train-auc:0.509960	test-auc:0.506566 
[99]	train-auc:0.509960	test-auc:0.506566 
[100]	train-auc:0.509960	test-auc:0.506567 
[101]	train-auc:0.510010	test-auc:0.506634 
Stopping. Best iteration:
[1]	train-auc:0.509427	test-auc:0.507049

[1]	train-auc:0.509160	test-auc:0.507904 
Multiple eval metrics are present. Will use test_auc for early stopping.
Will train until test_auc hasn't improved in 100 rounds.

[2]	train-auc:0.509168	test-auc:0.507889 
[3]	train-auc:0.509167	test-auc:0.507886 
[4]	train-auc:0.509168	test-auc:0.507889 
[5]	train-auc:0.509170	test-auc:0.507887 
[6]	train-auc:0.509171	test-auc:0.507890 
[7]	train-auc:0.509173	test-auc:0.507887 
[8]	train-auc:0.509175	test-auc:0.507886 
[9]	train-auc:0.509174	test-auc:0.507890 
[10]	train-auc:0.509250	test-auc:0.507867 
[11]	train-auc:0.509250	test-auc:0.507867 
[12]	train-auc:0.509250	test-auc:0.507865 
[13]	train-auc:0.509250	test-auc:0.507865 
[14]	train-auc:0.509251	test-auc:0.507863 
[15]	train-auc:0.509252	test-auc:0.507866 
[16]	train-auc:0.509252	test-auc:0.507863 
[17]	train-auc:0.509253	test-auc:0.507860 
[18]	train-auc:0.509253	test-auc:0.507860 
[19]	train-auc:0.509253	test-auc:0.507864 
[20]	train-auc:0.509254	test-auc:0.507857 
[21]	train-auc:0.509255	test-auc:0.507859 
[22]	train-auc:0.509255	test-auc:0.507856 
[23]	train-auc:0.509255	test-auc:0.507850 
[24]	train-auc:0.509255	test-auc:0.507853 
[25]	train-auc:0.509255	test-auc:0.507850 
[26]	train-auc:0.509362	test-auc:0.507800 
[27]	train-auc:0.509434	test-auc:0.507515 
[28]	train-auc:0.509398	test-auc:0.507492 
[29]	train-auc:0.509398	test-auc:0.507492 
[30]	train-auc:0.509398	test-auc:0.507493 
[31]	train-auc:0.509399	test-auc:0.507489 
[32]	train-auc:0.509399	test-auc:0.507490 
[33]	train-auc:0.509399	test-auc:0.507490 
[34]	train-auc:0.509397	test-auc:0.507490 
[35]	train-auc:0.509397	test-auc:0.507490 
[36]	train-auc:0.509397	test-auc:0.507485 
[37]	train-auc:0.509398	test-auc:0.507485 
[38]	train-auc:0.509398	test-auc:0.507486 
[39]	train-auc:0.509398	test-auc:0.507486 
[40]	train-auc:0.509398	test-auc:0.507486 
[41]	train-auc:0.509398	test-auc:0.507485 
[42]	train-auc:0.509398	test-auc:0.507485 
[43]	train-auc:0.509398	test-auc:0.507487 
[44]	train-auc:0.509398	test-auc:0.507486 
[45]	train-auc:0.509398	test-auc:0.507487 
[46]	train-auc:0.509398	test-auc:0.507487 
[47]	train-auc:0.509399	test-auc:0.507487 
