[50]	train-auc:0.501947	test-auc:0.501479 
[51]	train-auc:0.501943	test-auc:0.501479 
[52]	train-auc:0.501947	test-auc:0.501479 
[53]	train-auc:0.501943	test-auc:0.501479 
[54]	train-auc:0.501947	test-auc:0.501479 
[55]	train-auc:0.502116	test-auc:0.501627 
[56]	train-auc:0.501943	test-auc:0.501479 
[57]	train-auc:0.502007	test-auc:0.501525 
[58]	train-auc:0.502116	test-auc:0.501627 
[59]	train-auc:0.502007	test-auc:0.501525 
[60]	train-auc:0.502116	test-auc:0.501627 
[61]	train-auc:0.502116	test-auc:0.501627 
[62]	train-auc:0.502116	test-auc:0.501627 
[63]	train-auc:0.502116	test-auc:0.501627 
[64]	train-auc:0.502116	test-auc:0.501627 
[65]	train-auc:0.502126	test-auc:0.501653 
[66]	train-auc:0.502182	test-auc:0.501699 
[67]	train-auc:0.502126	test-auc:0.501653 
[68]	train-auc:0.502179	test-auc:0.501699 
